player,team,opponent
Patrick Mahomes,KC,DEN
Bo Nix,DEN,KC
Dak Prescott,DAL,NYG
Jaxson Dart,NYG,DAL
Kirk Cousins,LV,MIA
Malik Willis,MIA,LV
Jacoby Brissett,ARI,LAC
Justin Herbert,LAC,ARI
Jalen Hurts,PHI,WAS
Jayden Daniels,WAS,PHI
Jordan Love,GB,MIN
Kyler Murray,MIN,GB
Trevor Lawrence,JAX,CLE
Deshaun Watson,CLE,JAX
Cam Ward,TEN,NYJ
Geno Smith,NYJ,TEN
Bryce Young,CAR,CHI
Caleb Williams,CHI,CAR
Lamar Jackson,BAL,IND
Daniel Jones,IND,BAL
Aaron Rodgers,PIT,ATL
Tyler Shough,NO,DET
Jared Goff,DET,NO
Baker Mayfield,TB,CIN
Joe Burrow,CIN,TB
CJ Stroud,HOU,BUF
Josh Allen,BUF,HOU
Brock Purdy,SF,LAR
Matthew Stafford,LAR,SF
Sam Darnold,SEA,NE
Drake Maye,NE,SEA
